subject_id,p,channel_set,auc,f1,accuracy,precision,recall,fdr
subj_053,10,ch3,0.5338523584525866,0.2105534105534105,0.1176639815880322,0.1176639815880322,1.0,0.0095541728580138
subj_053,20,ch3,0.5492692539797817,0.2105534105534105,0.1176639815880322,0.1176639815880322,1.0,0.0089397605771498
subj_053,40,ch3,0.5434051098410957,0.208826695371367,0.1542002301495972,0.1173268823707287,0.9486552567237164,0.0061929940007401
subj_053,60,ch3,0.5652904210209956,0.2200815116709892,0.3944188722669735,0.1296943231441048,0.726161369193154,0.0248462826213432
subj_053,100,ch3,0.6527575268872923,0.2650046168051708,0.5420023014959724,0.1633466135458167,0.7017114914425427,0.1600088758403946
subj_055,10,ch3,0.5236157590508062,0.2112332112332112,0.1180887372013651,0.1180887372013651,1.0,0.00731240086524
subj_055,20,ch3,0.4469439547951824,0.2113160362613316,0.1389078498293515,0.118471784086926,0.976878612716763,0.0102002062033173
subj_055,40,ch3,0.5212960146029815,0.2118242175150174,0.1491467576791809,0.118920837770678,0.9682080924855492,8.099873389524334e-05
subj_055,60,ch3,0.544723867642585,0.2083832335329341,0.5488054607508532,0.1314199395770392,0.5028901734104047,0.0110199242943612
subj_055,100,ch3,0.5433906297535747,0.2160308615516502,0.3757679180887372,0.1268243583291394,0.7283236994219653,0.0211187605354393
subj_056,10,ch3,0.5020995316531198,0.2098999188531241,0.1172559685705651,0.1172559685705651,1.0,0.0010755238415233
subj_056,20,ch3,0.5059028647864557,0.2098999188531241,0.1172559685705651,0.1172559685705651,1.0,0.0033850198931541
subj_056,40,ch3,0.5203437073167289,0.204797708557107,0.3288002417648836,0.1189189189189189,0.7371134020618557,0.0011708502918645
subj_056,60,ch3,0.5060387453809422,0.2116194218355318,0.1511030522816561,0.1187401574803149,0.9716494845360824,0.0022502053952845
subj_056,100,ch3,0.502442321334665,0.210412147505423,0.1199758235116349,0.1175757575757575,1.0,0.0005045587135849
subj_057,10,ch3,0.5067357461478089,0.2109356014580801,0.1179027438196142,0.1179027438196142,1.0,0.0003328328113539
subj_057,20,ch3,0.5150323091574073,0.2109356014580801,0.1179027438196142,0.1179027438196142,1.0,0.0002047573455807
subj_057,40,ch3,0.5271920624355129,0.2104887620406707,0.3988046726433034,0.1245251160827353,0.6797235023041475,0.0043993828742499
subj_057,60,ch3,0.5508739722877836,0.2116527942925089,0.4596577017114914,0.1278123504068932,0.6152073732718893,0.0238073213481865
subj_057,100,ch3,0.7057844248998366,0.3225806451612903,0.6919315403422983,0.2177419354838709,0.6221198156682027,0.3083708475417418
subj_058,10,ch3,0.5038575557297647,0.2104362703165098,0.1175908221797323,0.1175908221797323,1.0,0.0012878380731979
subj_058,20,ch3,0.4897118797840199,0.2104362703165098,0.1175908221797323,0.1175908221797323,1.0,0.0008079464847637
subj_058,40,ch3,0.509674963127385,0.2043737574552684,0.3623326959847036,0.1197576887232059,0.6964769647696477,0.0022597536706622
subj_058,60,ch3,0.5532453284085026,0.2124212421242124,0.1634799235181644,0.1194331983805668,0.959349593495935,0.0166534304350391
subj_058,100,ch3,0.644515204632003,0.2532034853921066,0.535691523263225,0.1561314791403287,0.6693766937669376,0.1417837130697593
subj_059,10,ch3,0.4923451113007384,0.2103174603174603,0.1175166297117516,0.1175166297117516,1.0,0.0023473901024004
subj_059,20,ch3,0.4959098427146213,0.1258741258741259,0.7690317812269032,0.1133501259445843,0.1415094339622641,0.0007413192024445
subj_059,40,ch3,0.5159747900930228,0.2064409578860445,0.2897265336289726,0.1188212927756654,0.7861635220125787,0.0023545651311009
subj_059,60,ch3,0.5128854439914456,0.210604929051531,0.2187730968218773,0.1194915254237288,0.8867924528301887,0.0032126560896486
subj_059,100,ch3,0.6630400429822065,0.2361950826279726,0.2997043606799704,0.135460009246417,0.9213836477987422,0.1306522891049568
subj_060,10,ch3,0.5247782192034403,0.2115689381933439,0.2349096501345636,0.1203787195671776,0.8725490196078431,0.002665093073681
subj_060,20,ch3,0.5358565793783018,0.2100035473572188,0.1437908496732026,0.1177875049741345,0.9673202614379084,0.006867546708097
subj_060,40,ch3,0.5133723496660828,0.2053231939163498,0.1964628988850442,0.1161790017211703,0.8823529411764706,0.0010370160324152
subj_060,60,ch3,0.7468637418656643,0.342512908777969,0.7062668204536716,0.2324766355140187,0.6503267973856209,0.4637361297951107
subj_060,100,ch3,0.800565309638743,0.3670007710100231,0.6843521722414456,0.2401614530776993,0.7777777777777778,0.6988971624670002
subj_061,10,ch3,0.4872520145923826,0.2101960784313725,0.1185995623632385,0.1174408413672217,1.0,0.0001433011073377
subj_061,20,ch3,0.5435768912009117,0.2070832393413038,0.2308533916849015,0.1177829099307159,0.8563432835820896,0.0026118828220883
subj_061,40,ch3,0.5613472517186008,0.2195830034309844,0.3529540481400438,0.1278819551183523,0.7761194029850746,0.0114557820728981
subj_061,60,ch3,0.5709128656420426,0.2147796024200518,0.2048140043763676,0.1214565004887585,0.9272388059701492,0.0218660144953739
subj_061,100,ch3,0.6176089988826319,0.2294133122862404,0.3590809628008752,0.1335375191424196,0.8134328358208955,0.0912099935163346
subj_062,10,ch3,0.4662753578416229,0.2106803218727139,0.1177432542927228,0.1177432542927228,1.0,0.0033512653525655
subj_062,20,ch3,0.4940788796210483,0.2106803218727139,0.1177432542927228,0.1177432542927228,1.0,0.0002008713122477
subj_062,40,ch3,0.5747589717845741,0.2252559726962457,0.535977105478332,0.1401869158878504,0.5729166666666666,0.0383096722857723
subj_062,60,ch3,0.5705892480177119,0.2124904798172125,0.1545380212591987,0.1193327630453379,0.96875,0.0227595730043834
subj_062,100,ch3,0.6881484270414995,0.2591138530566461,0.4599345870809485,0.154515050167224,0.8020833333333334,0.213994140977192
subj_063,10,ch3,0.5115160325132343,0.2108010439670748,0.117818671454219,0.117818671454219,1.0,0.0007861187183549
subj_063,20,ch3,0.4746285326646557,0.2108010439670748,0.117818671454219,0.117818671454219,1.0,0.0014857488665565
subj_063,40,ch3,0.4887625831304285,0.2021818181818181,0.2614452423698384,0.1158333333333333,0.7942857142857143,0.002309910375345
subj_063,60,ch3,0.5323860401448801,0.2108250557470099,0.1263464991023339,0.1179673321234119,0.9904761904761904,0.0002220071071492
subj_063,100,ch3,0.6400729246162977,0.2457337883959044,0.4544434470377019,0.1467753891771683,0.7542857142857143,0.0980653978999168
subj_064,10,ch3,0.4943336488191815,0.2105263157894736,0.1176470588235294,0.1176470588235294,1.0,0.0007802994614451
subj_064,20,ch3,0.5214327564449253,0.2138450993831391,0.2154582763337893,0.1212121212121212,0.9069767441860463,0.0002060876383621
subj_064,40,ch3,0.5413523075536326,0.2166543846720707,0.2729138166894664,0.1240506329113924,0.8546511627906976,0.0080859744974137
subj_064,60,ch3,0.511763115197404,0.2021747885622231,0.3225034199726402,0.1173445535296867,0.7296511627906976,0.0003816229100299
subj_064,100,ch3,0.6155680998738057,0.2271852137081247,0.3136114911080711,0.1309365290723479,0.8575581395348837,0.0743145679561421
subj_066,10,ch3,0.4914008092510474,0.2109996540989277,0.1179427687548337,0.1179427687548337,1.0,0.0010394511603771
subj_066,20,ch3,0.514823093121366,0.2109996540989277,0.1179427687548337,0.1179427687548337,1.0,0.0006994792460059
subj_066,40,ch3,0.5335911054254318,0.1984435797665369,0.5220417633410673,0.1236863379143088,0.5016393442622951,0.0056994059751663
subj_066,60,ch3,0.5691025650239685,0.2276741903827281,0.391337973704563,0.133871898442008,0.760655737704918,0.0461076361650127
subj_066,100,ch3,0.738977008933384,0.3172720533728688,0.6438515081206496,0.2049808429118774,0.7016393442622951,0.4033319740194851
subj_067,10,ch3,0.5339257989716706,0.2108311613090066,0.1178374878601489,0.1178374878601489,1.0,0.0018104279778697
subj_067,20,ch3,0.5080038310313539,0.2108311613090066,0.1178374878601489,0.1178374878601489,1.0,0.00030501956302
subj_067,40,ch3,0.5114598245790907,0.2048748353096179,0.2185173195208805,0.1163922155688622,0.8543956043956044,0.0007597127960383
subj_067,60,ch3,0.6154884564976308,0.2552910052910053,0.6354807381029459,0.1681184668989547,0.5302197802197802,0.0916679167712192
subj_067,100,ch3,0.6798054239338643,0.2797992471769134,0.6283586921333765,0.18130081300813,0.6126373626373627,0.2279689733143052
subj_076,10,ch3,0.5099526574927409,0.2,0.1111111111111111,0.1111111111111111,1.0,0.0005411644951941
subj_076,20,ch3,0.5282865168539326,0.2,0.1111111111111111,0.1111111111111111,1.0,0.0035767042589528
subj_076,40,ch3,0.5322383537432143,0.2004967261232784,0.1158551810237203,0.1114457831325301,0.997752808988764,0.0079295093228932
subj_076,60,ch3,0.5409418002777427,0.2060016220600162,0.5111111111111111,0.1256803562592776,0.5707865168539326,0.0046463275978301
subj_076,100,ch3,0.6559323317762908,0.2487394957983193,0.5535580524344569,0.1529715762273902,0.6651685393258427,0.1430960848351239
subj_077,10,ch3,0.8592660105894963,0.384928716904277,0.6893004115226338,0.2465753424657534,0.877030162412993,1.1093904107431547
